task_id,title,owner_team,status,canonical_state,strategy_acceptance,data_readiness,parent_task,key_report,key_decision,key_artifacts,validation_command,notes
Task503,Multi-Day Entry Population Rebuild,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task502,docs/reports/task_503_multiday_entry_population_rebuild/task_503_multiday_entry_population_rebuild.md,docs/reports/task_503_multiday_entry_population_rebuild/task_503_decision.csv,docs/reports/task_503_multiday_entry_population_rebuild,python -m unittest tests.test_task503_multiday_entry_population_rebuild,Raw daily and intraday entry population rebuilt for multi-day continuation
Task504,Multi-Day Entry Cell Portfolio,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task503,docs/reports/task_504_multiday_entry_cell_portfolio/task_504_multiday_entry_cell_portfolio.md,docs/reports/task_504_multiday_entry_cell_portfolio/task_504_decision.csv,docs/reports/task_504_multiday_entry_cell_portfolio,python -m unittest tests.test_task504_multiday_entry_cell_portfolio,Goal metrics passed on diagnostic raw-built multi-day entry cell portfolio
Task505,Two-Year PnL Grid,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task504,docs/reports/task_505_two_year_pnl_grid/task_505_two_year_pnl_grid.md,docs/reports/task_505_two_year_pnl_grid/task_505_decision.csv,docs/reports/task_505_two_year_pnl_grid,python -m unittest tests.test_task505_two_year_pnl_grid,Best two-year diagnostic capital PnL grid selected from exact lifecycle population
Task506,Analyst Team Source Audit,Research Governance,Accepted,active,not-applicable,partial-source,Task505,docs/reports/task_506_analyst_team_source_audit/task_506_analyst_team_source_audit.md,docs/reports/task_506_analyst_team_source_audit/task_506_decision.csv,docs/reports/task_506_analyst_team_source_audit,python -m unittest tests.test_task506_507_analyst_team_harmonization,Four analyst team source availability audited without missing-source approximation
Task507,Analyst Harmonized Trading Logic,Research Governance,Accepted,active,diagnostic-only,blocked-source,Task506,docs/reports/task_507_analyst_harmonized_trading_logic/task_507_analyst_harmonized_trading_logic.md,docs/reports/task_507_analyst_harmonized_trading_logic/task_507_decision.csv,docs/reports/task_507_analyst_harmonized_trading_logic,python -m unittest tests.test_task506_507_analyst_team_harmonization,Technical-only diagnostic overlay; full four-analyst harmonization blocked by missing raw sources
Task508,Cost Stress Validation,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task505,docs/reports/task_508_cost_stress_validation/task_508_cost_stress_validation.md,docs/reports/task_508_cost_stress_validation/task_508_decision.csv,docs/reports/task_508_cost_stress_validation,python -m unittest tests.test_task508_511_task505_validation,Explicit round-trip cost stress added to Task505 best strategy
Task509,Walk Forward OOS Validation,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task505,docs/reports/task_509_walk_forward_oos_validation/task_509_walk_forward_oos_validation.md,docs/reports/task_509_walk_forward_oos_validation/task_509_decision.csv,docs/reports/task_509_walk_forward_oos_validation,python -m unittest tests.test_task508_511_task505_validation,Quarterly walk-forward audit exposes hindsight grid selection degradation
Task510,Entry Reduce Failure Decomposition,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task505,docs/reports/task_510_entry_reduce_failure_decomposition/task_510_entry_reduce_failure_decomposition.md,docs/reports/task_510_entry_reduce_failure_decomposition/task_510_decision.csv,docs/reports/task_510_entry_reduce_failure_decomposition,python -m unittest tests.test_task508_511_task505_validation,Task505 entry-reduce failures decomposed by theme timing and continuation setup
Task511,Live Source Feature Revalidation,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task505,docs/reports/task_511_live_source_feature_revalidation/task_511_live_source_feature_revalidation.md,docs/reports/task_511_live_source_feature_revalidation/task_511_decision.csv,docs/reports/task_511_live_source_feature_revalidation,python -m unittest tests.test_task508_511_task505_validation,Live-source-grade revalidation blocked by missing raw receive timestamps historical status LULD and full depth book
Task512,Backtest Correctness Overfit Audit,Research Governance,Accepted,active,diagnostic-only,partial-source,Task505,docs/reports/task_512_backtest_correctness_overfit_audit/task_512_backtest_correctness_overfit_audit.md,docs/reports/task_512_backtest_correctness_overfit_audit/task_512_decision.csv,docs/reports/task_512_backtest_correctness_overfit_audit,python -m unittest tests.test_task512_backtest_correctness_overfit_audit,Task505 firm-grade audit fails due walk-forward degradation quarter collapse and concentration
Task513,Deterministic Event Replay Engine,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task512,docs/reports/task_513_deterministic_event_replay_engine/task_513_deterministic_event_replay_engine.md,docs/reports/task_513_deterministic_event_replay_engine/task_513_decision.csv,docs/reports/task_513_deterministic_event_replay_engine,python -m unittest tests.test_task513_deterministic_event_replay_engine,Deterministic replay v1 produces stable event hash but lacks receive timestamps
Task514,Live Source Data Contract,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task513,docs/reports/task_514_live_source_data_contract/task_514_live_source_data_contract.md,docs/reports/task_514_live_source_data_contract/task_514_decision.csv,docs/reports/task_514_live_source_data_contract,python -m unittest tests.test_task514_live_source_data_contract,Live-source contract blocks full firm-grade validation until missing raw sources are collected
Task515,Portfolio Execution Realism,Execution & Risk,Accepted,active,diagnostic-only,blocked-source,Task513,docs/reports/task_515_portfolio_execution_realism/task_515_portfolio_execution_realism.md,docs/reports/task_515_portfolio_execution_realism/task_515_decision.csv,docs/reports/task_515_portfolio_execution_realism,python -m unittest tests.test_task515_portfolio_execution_realism,Execution realism scenarios remain diagnostic because broker truth fills status LULD and depth are unavailable
Task516,Vectorized Discovery Layer,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task512,docs/reports/task_516_vectorized_discovery_layer/task_516_vectorized_discovery_layer.md,docs/reports/task_516_vectorized_discovery_layer/task_516_decision.csv,docs/reports/task_516_vectorized_discovery_layer,python -m unittest tests.test_task516_vectorized_discovery_layer,Fast discovery queue built; top candidates require deterministic replay before interpretation
Task517,Raw Native Deterministic Replay,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task513,docs/reports/task_517_raw_native_deterministic_replay/task_517_raw_native_deterministic_replay.md,docs/reports/task_517_raw_native_deterministic_replay/task_517_decision.csv,docs/reports/task_517_raw_native_deterministic_replay,python -m unittest tests.test_task517_522_firm_grade_completion,Raw intraday native replay complete for Task505 rows but receive timestamp remains unavailable
Task518,Firm Grade Overfit Statistics,Research Governance,Accepted,active,diagnostic-only,partial-source,Task512,docs/reports/task_518_firm_grade_overfit_statistics/task_518_firm_grade_overfit_statistics.md,docs/reports/task_518_firm_grade_overfit_statistics/task_518_decision.csv,docs/reports/task_518_firm_grade_overfit_statistics,python -m unittest tests.test_task517_522_firm_grade_completion,Top family positive folds strong but entry-reduce remains above firm-grade threshold
Task519,Broker Truth Execution Readiness,Execution & Risk,Accepted,active,not-applicable,blocked-source,Task515,docs/reports/task_519_broker_truth_execution_readiness/task_519_broker_truth_execution_readiness.md,docs/reports/task_519_broker_truth_execution_readiness/task_519_decision.csv,docs/reports/task_519_broker_truth_execution_readiness,python -m unittest tests.test_task517_522_firm_grade_completion,Broker truth fill and historical halt LULD execution blockers remain
Task520,Live Source Acquisition Loop,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task514,docs/reports/task_520_live_source_acquisition_loop/task_520_live_source_acquisition_loop.md,docs/reports/task_520_live_source_acquisition_loop/task_520_decision.csv,docs/reports/task_520_live_source_acquisition_loop,python -m unittest tests.test_task517_522_firm_grade_completion,Live stream archive partially ready; order fill archive and full depth provider remain next blockers
Task521,Replay Queued Discovery Grid,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task516,docs/reports/task_521_replay_queued_discovery_grid/task_521_replay_queued_discovery_grid.md,docs/reports/task_521_replay_queued_discovery_grid/task_521_decision.csv,docs/reports/task_521_replay_queued_discovery_grid,python -m unittest tests.test_task517_522_firm_grade_completion,Task516 top 25 replay queue evaluated under deterministic diagnostic replay
Task522,Firm Grade Promotion Gate,Research Governance,Accepted,active,diagnostic-only,blocked-source,Task517,docs/reports/task_522_firm_grade_promotion_gate/task_522_firm_grade_promotion_gate.md,docs/reports/task_522_firm_grade_promotion_gate/task_522_decision.csv,docs/reports/task_522_firm_grade_promotion_gate,python -m unittest tests.test_task517_522_firm_grade_completion,Firm-grade promotion blocked: overfit statistics broker truth execution and full live-source gate failed
Task523,Receive Timestamp Replay,Backtest & Simulation Infra,Accepted,active,not-applicable,blocked-source,Task517,docs/reports/task_523_receive_timestamp_replay/task_523_receive_timestamp_replay.md,docs/reports/task_523_receive_timestamp_replay/task_523_decision.csv,docs/reports/task_523_receive_timestamp_replay,python -m unittest tests.test_task523_receive_timestamp_replay,Historical Task505 replay separated from receive-timestamp live replay; all Task505 decisions lack receive_ts
Task524,Entry Reduce Suppression OOS,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task518,docs/reports/task_524_entry_reduce_suppression_oos/task_524_entry_reduce_suppression_oos.md,docs/reports/task_524_entry_reduce_suppression_oos/task_524_decision.csv,docs/reports/task_524_entry_reduce_suppression_oos,python -m unittest tests.test_task524_entry_reduce_suppression_oos,Suppression families tested OOS; best trend-persistence-only nearly passes but entry-reduce remains above 30 percent
Task525,Broker Order Fill Archive Contract,Execution & Risk,Accepted,active,not-applicable,blocked-source,Task519,docs/reports/task_525_broker_order_fill_archive_contract/task_525_broker_order_fill_archive_contract.md,docs/reports/task_525_broker_order_fill_archive_contract/task_525_decision.csv,docs/reports/task_525_broker_order_fill_archive_contract,python -m unittest tests.test_task525_broker_order_fill_archive_contract,Broker order/fill archive schema and lineage contract defined; collector not yet implemented
Task526,Depth Scope Decision,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task520,docs/reports/task_526_depth_scope_decision/task_526_depth_scope_decision.md,docs/reports/task_526_depth_scope_decision/task_526_decision.csv,docs/reports/task_526_depth_scope_decision,python -m unittest tests.test_task526_depth_scope_decision,NBBO-only paper/shadow scope allowed; deployment-grade full-depth remains blocked without provider
Task527,Replay Queue Promotion Rerun,Research Governance,Accepted,active,diagnostic-only,partial-source,Task521,docs/reports/task_527_replay_queue_promotion_rerun/task_527_replay_queue_promotion_rerun.md,docs/reports/task_527_replay_queue_promotion_rerun/task_527_decision.csv,docs/reports/task_527_replay_queue_promotion_rerun,python -m unittest tests.test_task527_replay_queue_promotion_rerun,Replay queue rerun produced terminal decision; no promotion until suppression OOS passes
Task528,Firm Grade Gate V2,Research Governance,Accepted,active,diagnostic-only,blocked-source,Task527,docs/reports/task_528_firm_grade_gate_v2/task_528_firm_grade_gate_v2.md,docs/reports/task_528_firm_grade_gate_v2/task_528_decision.csv,docs/reports/task_528_firm_grade_gate_v2,python -m unittest tests.test_task528_firm_grade_gate_v2,Gate V2 emits next action queue; current decision needs suppression rerun and live-source collection
Task529,Trend Persistence Entry-Safe Refinement,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task528,docs/reports/task_529_trend_persistence_entry_safe_refinement/task_529_trend_persistence_entry_safe_refinement.md,docs/reports/task_529_trend_persistence_entry_safe_refinement/task_529_decision.csv,docs/reports/task_529_trend_persistence_entry_safe_refinement,python -m unittest tests.test_task529_530_trend_persistence_refinement,Entry-safe close-position refinement passes OOS suppression target for trend-persistence family
Task530,Paper Shadow Candidate Rerun,Research Governance,Accepted,active,diagnostic-only,partial-source,Task529,docs/reports/task_530_paper_shadow_candidate_rerun/task_530_paper_shadow_candidate_rerun.md,docs/reports/task_530_paper_shadow_candidate_rerun/task_530_decision.csv,docs/reports/task_530_paper_shadow_candidate_rerun,python -m unittest tests.test_task529_530_trend_persistence_refinement,NBBO-only scope-limited paper shadow candidate promoted from Task529 refinement
Task531,Paper Shadow Order Fill Archive,Execution & Risk,Accepted,active,diagnostic-only,partial-source,Task530,docs/reports/task_531_paper_shadow_order_fill_archive/task_531_paper_shadow_order_fill_archive.md,docs/reports/task_531_paper_shadow_order_fill_archive/task_531_decision.csv,docs/reports/task_531_paper_shadow_order_fill_archive,python -m unittest tests.test_task531_paper_shadow_order_fill_archive,Paper/shadow decision-order-fill-lifecycle lineage archive implemented without broker order submission
Task532,External Quant Context Map,Research Governance,Accepted,active,not-applicable,partial-source,Task531,docs/reports/task_532_external_quant_context_map/task_532_external_quant_context_map.md,docs/reports/task_532_external_quant_context_map/task_532_decision.csv,docs/reports/task_532_external_quant_context_map,python -m unittest tests.test_task532_536_quant_context_frontend,External quant resources mapped into project governance and missing capability matrix
Task533,Factor Premium Validation Design,Research Governance,Accepted,active,not-applicable,blocked-source,Task532,docs/reports/task_533_factor_premium_validation_design/task_533_factor_premium_validation_design.md,docs/reports/task_533_factor_premium_validation_design/task_533_decision.csv,docs/reports/task_533_factor_premium_validation_design,python -m unittest tests.test_task532_536_quant_context_frontend,Fama-French and Fama-MacBeth validation designed as non-trigger validation layer
Task534,Statistical Validation Upgrade,Research Governance,Accepted,active,diagnostic-only,partial-source,Task533,docs/reports/task_534_statistical_validation_upgrade/task_534_statistical_validation_upgrade.md,docs/reports/task_534_statistical_validation_upgrade/task_534_decision.csv,docs/reports/task_534_statistical_validation_upgrade,python -m unittest tests.test_task532_536_quant_context_frontend,Fold stability confidence interval proxy and multiple-testing guardrail added
Task535,Frontend Research Cockpit V1,Frontend Team,Accepted,active,not-applicable,partial-source,Task534,docs/reports/task_535_frontend_research_cockpit_v1/task_535_frontend_research_cockpit_v1.md,docs/reports/task_535_frontend_research_cockpit_v1/task_535_decision.csv,docs/reports/task_535_frontend_research_cockpit_v1,python -m unittest tests.test_task532_536_quant_context_frontend,Streamlit research cockpit made task-registry driven with blocker board
Task536,Frontend API Boundary,Frontend Team,Accepted,active,not-applicable,partial-source,Task535,docs/reports/task_536_frontend_api_boundary/task_536_frontend_api_boundary.md,docs/reports/task_536_frontend_api_boundary/task_536_decision.csv,docs/reports/task_536_frontend_api_boundary,python -m unittest tests.test_task532_536_quant_context_frontend,Hybrid Streamlit now React FastAPI later catalog boundary defined
Task537,Factor Premium Validation,Research Governance,Accepted,active,diagnostic-only,blocked-source,Task536,docs/reports/task_537_factor_premium_validation/task_537_factor_premium_validation.md,docs/reports/task_537_factor_premium_validation/task_537_decision.csv,docs/reports/task_537_factor_premium_validation,python -m unittest tests.test_task537_factor_premium_validation,Fama-French daily factors acquired and entry-safe Fama-MacBeth diagnostic run; full fundamental factor premium remains blocked
Task538,Fundamental Factor Source Audit,Research Governance,Accepted,active,not-applicable,partial-source,Task537,docs/reports/task_538_fundamental_factor_source_audit/task_538_fundamental_factor_source_audit.md,docs/reports/task_538_fundamental_factor_source_audit/task_538_decision.csv,docs/reports/task_538_fundamental_factor_source_audit,python -m unittest tests.test_task538_fundamental_factor_source_audit,SEC company facts source partially acquired; market cap and estimate revision sources remain blocked
Task539,Market Cap Shares Source,Research Governance,Accepted,active,not-applicable,partial-source,Task538,docs/reports/task_539_market_cap_shares_source/task_539_market_cap_shares_source.md,docs/reports/task_539_market_cap_shares_source/task_539_decision.csv,docs/reports/task_539_market_cap_shares_source,python -m unittest tests.test_task539_market_cap_shares_source,SEC shares outstanding combined with daily close for diagnostic market cap panel; CRSP/Compustat-grade remains unavailable
Task540,Market Cap Coverage Gap,Research Governance,Accepted,active,not-applicable,partial-source,Task539,docs/reports/task_540_market_cap_coverage_gap/task_540_market_cap_coverage_gap.md,docs/reports/task_540_market_cap_coverage_gap/task_540_decision.csv,docs/reports/task_540_market_cap_coverage_gap,python -m unittest tests.test_task540_market_cap_coverage_gap,Market-cap coverage raised to 100 percent with source-graded SEC fallback shares; CRSP/Compustat-grade remains false
Task541,Size Book-to-Market Fama-MacBeth Diagnostic,Research Governance,Accepted,active,diagnostic-only,partial-source,Task540,docs/reports/task_541_size_bm_fama_macbeth/task_541_size_bm_fama_macbeth.md,docs/reports/task_541_size_bm_fama_macbeth/task_541_decision.csv,docs/reports/task_541_size_bm_fama_macbeth,python -m unittest tests.test_task541_size_bm_fama_macbeth,SEC book equity and previous-close market cap size BM diagnostics attached to Fama-MacBeth validation layer
Task542,Factor Adjusted Continuation Attribution,Research Governance,Accepted,active,diagnostic-only,partial-source,Task541,docs/reports/task_542_factor_adjusted_continuation_attribution/task_542_factor_adjusted_continuation_attribution.md,docs/reports/task_542_factor_adjusted_continuation_attribution/task_542_decision.csv,docs/reports/task_542_factor_adjusted_continuation_attribution,python -m unittest tests.test_task542_factor_adjusted_continuation_attribution,Task505 Task529 Task530 continuation candidates attributed against Fama-French plus size BM diagnostic factor model
Task543,Factor Adjusted Walk Forward Validation,Research Governance,Accepted,active,diagnostic-only,partial-source,Task542,docs/reports/task_543_factor_adjusted_walk_forward_validation/task_543_factor_adjusted_walk_forward_validation.md,docs/reports/task_543_factor_adjusted_walk_forward_validation/task_543_decision.csv,docs/reports/task_543_factor_adjusted_walk_forward_validation,python -m unittest tests.test_task543_factor_adjusted_walk_forward_validation,Task542 residual edge checked across validation recent OOS and quarters with underpowered OOS flagged
Task544,Factor Adjusted Sample Expansion Quarter Failure,Research Governance,Accepted,active,diagnostic-only,partial-source,Task543,docs/reports/task_544_factor_adjusted_sample_expansion_quarter_failure/task_544_factor_adjusted_sample_expansion_quarter_failure.md,docs/reports/task_544_factor_adjusted_sample_expansion_quarter_failure/task_544_decision.csv,docs/reports/task_544_factor_adjusted_sample_expansion_quarter_failure,python -m unittest tests.test_task544_sample_expansion_quarter_failure,Adjacent entry-safe sample expansion tested and 2025Q1-Q3 factor-adjusted residual failures decomposed
Task545,Factor Adjusted Failure State Suppression,Research Governance,Accepted,active,diagnostic-only,partial-source,Task544,docs/reports/task_545_factor_adjusted_failure_state_suppression/task_545_factor_adjusted_failure_state_suppression.md,docs/reports/task_545_factor_adjusted_failure_state_suppression/task_545_decision.csv,docs/reports/task_545_factor_adjusted_failure_state_suppression,python -m unittest tests.test_task545_factor_adjusted_failure_suppression,Entry-safe suppression variants tested against Task544 factor-adjusted failure states
Task546,Microstructure Live Capture Layer,Data & Market Microstructure,Accepted,active,diagnostic-only,blocked-source,Task545,docs/reports/task_546_microstructure_live_capture_layer/task_546_microstructure_live_capture_plan.md,docs/reports/task_546_microstructure_live_capture_layer/microstructure_capture_readiness_gate.csv,docs/reports/task_546_microstructure_live_capture_layer,python -m unittest tests.test_task546_microstructure_source_contract tests.test_task546_event_capture_schema tests.test_task546_order_fill_lineage_integration tests.test_task546_microstructure_feature_contract tests.test_task546_readiness_gate,Microstructure source contract capture schema order lineage feature contract and readiness gate added; NBBO paper shadow scope allowed full depth deployment blocked
Task547,Paper Shadow Microstructure Capture Run,Data & Market Microstructure,Accepted,active,diagnostic-only,blocked-source,Task546,docs/reports/task_547_paper_shadow_microstructure_capture_run/task_547_paper_shadow_microstructure_capture_run.md,docs/reports/task_547_paper_shadow_microstructure_capture_run/task_547_decision.csv,docs/reports/task_547_paper_shadow_microstructure_capture_run,python -m unittest tests.test_task547_paper_shadow_microstructure_capture,Paper shadow microstructure capture path implemented; current run has no live stream archive rows yet
Task548,Market Theme Regime Feature Expansion,Regime Research,Accepted,active,diagnostic-only,partial-source,Task547,docs/reports/task_548_market_theme_regime_feature_expansion/task_548_market_theme_regime_feature_expansion.md,docs/reports/task_548_market_theme_regime_feature_expansion/task_548_decision.csv,docs/reports/task_548_market_theme_regime_feature_expansion,python -m unittest tests.test_task548_555_quant_doc_alignment,Multi-day regime expanded with available pre-entry trend features; macro and cross-asset sources remain blockers
Task549,Theme Universe Leadership Contract,Regime Research,Accepted,active,not-applicable,partial-source,Task548,docs/reports/task_549_theme_universe_leadership_contract/task_549_theme_universe_leadership_contract.md,docs/reports/task_549_theme_universe_leadership_contract/task_549_decision.csv,docs/reports/task_549_theme_universe_leadership_contract,python -m unittest tests.test_task548_555_quant_doc_alignment,Theme universe version contract and leadership diagnostics created; ETF options and news remain source blockers
Task550,Anchored VWAP Band Walk Continuation,Intraday Continuation Research,Accepted,active,diagnostic-only,partial-source,Task549,docs/reports/task_550_anchored_vwap_band_walk_continuation/task_550_anchored_vwap_band_walk_continuation.md,docs/reports/task_550_anchored_vwap_band_walk_continuation/task_550_decision.csv,docs/reports/task_550_anchored_vwap_band_walk_continuation,python -m unittest tests.test_task548_555_quant_doc_alignment,OHLCV VWAP-safe anchored VWAP proxy band-walk and overextension diagnostics added without label assignment
Task551,Microstructure Source Capture Upgrade,Data & Market Microstructure,Accepted,active,not-applicable,blocked-source,Task550,docs/reports/task_551_microstructure_source_capture_upgrade/task_551_microstructure_source_capture_upgrade.md,docs/reports/task_551_microstructure_source_capture_upgrade/task_551_decision.csv,docs/reports/task_551_microstructure_source_capture_upgrade,python -m unittest tests.test_task548_555_quant_doc_alignment,NBBO/status/LULD/full-depth source contract upgraded; full depth and broker-truth remain blockers
Task552,Broker Truth Fill Execution Archive,Execution & Risk,Accepted,active,not-applicable,blocked-source,Task551,docs/reports/task_552_broker_truth_fill_execution_archive/task_552_broker_truth_fill_execution_archive.md,docs/reports/task_552_broker_truth_fill_execution_archive/task_552_decision.csv,docs/reports/task_552_broker_truth_fill_execution_archive,python -m unittest tests.test_task548_555_quant_doc_alignment,Broker-truth fill archive contract and lineage audit added; historical rows remain non-deployment
Task553,Portfolio Realism Simulator,Backtest & Simulation Infra,Accepted,active,diagnostic-only,partial-source,Task552,docs/reports/task_553_portfolio_realism_simulator/task_553_portfolio_realism_simulator.md,docs/reports/task_553_portfolio_realism_simulator/task_553_decision.csv,docs/reports/task_553_portfolio_realism_simulator,python -m unittest tests.test_task548_555_quant_doc_alignment,Fixed-notional portfolio path and exposure overlap proxy added; broker-truth fill absent so result remains diagnostic
Task554,Artifact Schema Metadata Governance,Research Governance,Accepted,active,not-applicable,partial-source,Task553,docs/reports/task_554_artifact_schema_metadata_governance/task_554_artifact_schema_metadata_governance.md,docs/reports/task_554_artifact_schema_metadata_governance/task_554_decision.csv,docs/reports/task_554_artifact_schema_metadata_governance,python -m unittest tests.test_task548_555_quant_doc_alignment,Artifact manifest v2 contract defined while preserving existing manifest compatibility
